text,label,label_name
Is it possible for me to change my PIN number?,21,change_pin
I'm not sure why my card didn't work,25,declined_card_payment
I don't think my top up worked,59,top_up_failed
Can you explain why my payment was charged a fee?,15,card_payment_fee_charged
"How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay",5,balance_not_updated_after_bank_transfer
Why am I getting declines when trying to make a purchase online?,27,declined_transfer
What is the $1 transaction on my account?,34,extra_charge_on_statement
It looks like my card payment was sent back.,53,reverted_card_payment?
Why am I unable to transfer money when I was able to before?,7,beneficiary_not_allowed
What if there is an error on the exchange rate?,17,card_payment_wrong_exchange_rate
After I transferred money the balance remained the same.,5,balance_not_updated_after_bank_transfer
How much does top up fees cost?,57,top_up_by_card_charge
limits on top ups,60,top_up_limits
My card payment was not successful.,25,declined_card_payment
I live in the EU - can I get a card?,24,country_support
Why did my top-up not work?,59,top_up_failed
"I have a strange transaction for £1 on my statement, what is that?",34,extra_charge_on_statement
Why is my money not in my account. I have already sent it out.,6,balance_not_updated_after_cheque_or_cash_deposit
Let me know what the steps for the identity checks are,69,verify_my_identity
I need my card as quick as possible,12,card_delivery_estimate
In what increments can I top-up my card?,4,automatic_top_up
When do i activate auto top-up?,4,automatic_top_up
Do you charge for sending out more cards?,39,getting_spare_card
Why am I being asked to verify my identity?,74,why_verify_identity
What currencies can I use?,54,supported_cards_and_currencies
I withdrew cash and I think the exchange rate is wrong.,76,wrong_exchange_rate_for_cash_withdrawal
"My top up hasn't gone through yet, why?",47,pending_top_up
"Hello, I have a question concerning an unfamiliar fee that I notice on my account. I see that you guys charge for ATM withdrawal. Never notice this fee until now. Can you please explain?",19,cash_withdrawal_charge
The exchange rate was wrong in the foreign country I got cash in.,76,wrong_exchange_rate_for_cash_withdrawal
I am still waiting for a transfer to show,48,pending_transfer
How is the exchange rate calculated?,32,exchange_rate
"There was an extra fee when I paid with my card, why was i charged this extra fee?",15,card_payment_fee_charged
My credit card seems to have been declined for top up. Why is it not going through? Can you tell me what's going on?,59,top_up_failed
"My transfers keep on getting declined. My card was working fine up until now, however it has suddenly stopped working. Why is this?",27,declined_transfer
How long does it take for my physical card to be delivered.,12,card_delivery_estimate
I need to know why a money transfer is available.,48,pending_transfer
I must make several disposable cards every day.,29,disposable_card_limits
What do I do to link my new card?,13,card_linking
Why is their a charge pending on my card still?,45,pending_card_payment
Why is there extra cash in my account?,20,cash_withdrawal_not_recognised
Can I get a refund on an item?,52,request_refund
Can I get an update on my replacement card?,11,card_arrival
How do I know what my PIN is?,38,get_physical_card
In which countries can I get a card?,24,country_support
Can I choose from either Visa or Mastercard?,73,visa_or_mastercard
My card still hasn't been delivered,11,card_arrival
I didn't make the direct debit payment on my account.,28,direct_debit_payment_not_recognised
after i got married i need to change my name,30,edit_personal_details
How can I tell the source for my available funds?,70,verify_source_of_funds
I didn't get all the cash I asked for,75,wrong_amount_of_cash_received
where did my funds come from?,70,verify_source_of_funds
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?,28,direct_debit_payment_not_recognised
"Apparently, I went out today to use my new card and was informed my payment was decline. This is really embarrassing, what happen?",25,declined_card_payment
My card is not working at stores.,25,declined_card_payment
Do you accept all cards and currencies?,54,supported_cards_and_currencies
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once, second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",63,transaction_charged_twice
It's requiring me to verify my identity?,74,why_verify_identity
I noticed a different charge while I was taking my money out.,19,cash_withdrawal_charge
Where can I find my PIN? I haven't gotten it yet.,38,get_physical_card
Why isn't my cash deposit showing up in my account? I deposited it this morning.,6,balance_not_updated_after_cheque_or_cash_deposit
When I'm traveling is it possible to add money automatically at certain time points?,4,automatic_top_up
"I've got a problem - I bought something with my card one or two weeks ago, but now exact same amount of the purchase is showing up in my account. I like more money in my account, but this is too good to be true. Can you tell me what's happening?",53,reverted_card_payment?
What cash machines will let me change my PIN?,21,change_pin
I haven't received my card.,11,card_arrival
Where is my virtual card?,40,getting_virtual_card
I did a transfer and I was charged a fee that shouldn't be there!,64,transfer_fee_charged
What are the reasons why a card payment would be declined?,25,declined_card_payment
When will I have access to my pin number?,38,get_physical_card
How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move,45,pending_card_payment
How do I get my card out of the ATM?,18,card_swallowed
I just sent money but the person I sent it to doesn't see it. What happened?,66,transfer_not_received_by_recipient
How do I verify my identity online,69,verify_my_identity
When can I expect my new card to get here?,12,card_delivery_estimate
"I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?",28,direct_debit_payment_not_recognised
How do I get a card if I live in the US?,24,country_support
"Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error. Do you know what could be causing this and can you help me get the money over.",35,failed_transfer
The top-up did not go through.,59,top_up_failed
Am I charged for receiving money?,56,top_up_by_bank_transfer_charge
How do I go about getting hold of a virtual card?,40,getting_virtual_card
Why would my top up be reverted?,61,top_up_reverted
"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",46,pending_cash_withdrawal
I tried pulling out money at the ATM and it gave me an incorrect amount back.,75,wrong_amount_of_cash_received
I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?,46,pending_cash_withdrawal
I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening?,53,reverted_card_payment?
Can I use my card to withdraw from my account?,3,atm_support
"I see I was charged extra when I used the card. I am not sure why, please tell me why.",15,card_payment_fee_charged
I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or let me know if you have any alternatives,59,top_up_failed
How come when I tried to pay contactless at the bus it didnt work?,23,contactless_not_working
There is a record of payment I never submitted on the app.,16,card_payment_not_recognised
"My refund has not arrived, and I am unsure why. Who do I contact?",51,Refund_not_showing_up
What is the procedure for depositing a virtual card,37,get_disposable_virtual_card
What kind of costs are involved for exchanging currency?,31,exchange_charge
Is there a reason why my virtual card won't work?,72,virtual_card_not_working
I tried to do a transfer but I got a message that it was declined.,27,declined_transfer
How can I dispute a direct debit transaction?,28,direct_debit_payment_not_recognised
Why has transferring money resulted in a charge?,64,transfer_fee_charged
